Subject,Start Date,End Date
New Year's Day,01/01/12,
Boo Boo Bear's Birthday,01/02/12,
Drinking Straw Day,01/03/12,
Trivia Day; First Road Sign,01/04/12,
National Bird Day,01/05/12,
Bean Day,01/06/12,
Hershey's Chocolate,01/07/12,
Bubble Bath Day,01/08/12,
Unwrapping Presents,01/09/12,
Picture Frames,01/10/12,
Milk Day,01/11/12,
Scratchboards,01/12/12,
Rubber Ducky Day,01/13/12,
Tissue Paper Puzzle,01/14/12,
National Hat Day,01/15/12,
Coffee Filter Art,01/16/12,
Kid Inventors' Day,01/17/12,
Pooh Day,01/18/12,
National Popcorn Day,01/19/12,
Basketball Day,01/20/12,
Foot/Hand Prints,01/21/12,
Pizza,01/22/12,
National Pie Day,01/23/12,
National Peanut Butter Day; Gold Discovered in CA,01/24/12,
First Winter Olympics,01/25/12,
White T-Shirts,01/26/12,
National Chocolate Cake Day,01/27/12,
Ernie's Birthday,01/28/12,
National Puzzle Day,01/29/12,
Farm Animals,01/30/12,
Inspire Your Heart with Art Day,01/31/12,
Magic Goo,02/01/12,
Crepe Day/Groundhog Day,02/02/12,
Elmo's Birthday,02/03/12,
Sea Animals,02/04/12,
Stained Glass,02/05/12,
Shaving Cream Painting,02/06/12,
Send a Card to a Friend Day,02/07/12,
Kite Flying Day,02/08/12,
Hershey's Chocolate Founded,02/09/12,
School Day; Umbrella Day,02/10/12,
White Shirt Day,02/11/12,
Make a Card,02/12/12,
Shield,02/13/12,
Valentine's Day; Ferris Wheel Day; Read to Your Child Day,02/14/12,
Self-stick paper collage,02/15/12,
Cooking,02/16/12,
Decorate a pumpkin,02/17/12,
Hershey's Chocolate,02/18/12,
Make a Wreath,02/19/12,
Love your Pet Day; President's Day; Toothpick Patented,02/20/12,
Mardi Gras Day; Love Your Pet Day; Polaroid Camera First Introduced,02/21/12,
Music Making,02/22/12,
Pinocchio Day,02/23/12,
Snowflakes,02/24/12,
Paper Plates,02/25/12,
Tell a Fairytale Day; Carnival Day,02/26/12,
Butterflies,02/27/12,
National Tooth Fairy Day,02/28/12,
Make Lemonade,02/29/12,
Desert Island,03/01/12,
Dr. Seuss Day,03/02/12,
Butterflies,03/03/12,
Music Making,03/04/12,
Hula Hoop Patented; Parachute Invented,03/05/12,
Board Games,03/06/12,
Cereal Day; Telephone Patented,03/07/12,
Nametag Day; Farmer's Day,03/08/12,
Barbie's Birthday,03/09/12,
Corn Syrup Painting,03/10/12,
First Basketball Game,03/11/12,
Scratchboards,03/12/12,
Donald Duck Day; Jewel Day,03/13/12,
Pi Day; Learn about Butterflies Day,03/14/12,
Hershey's Chocolate,03/15/12,
Torn Paper Collage,03/16/12,
St. Patrick's Day; National Quilting Day,03/17/12,
First Walk in Space,03/18/12,
Mosaics,03/19/12,
Corn Dog Day; Big Bird's Birthday,03/20/12,
Fragrance Day,03/21/12,
National Sing-Out Day,03/22/12,
National Puppy Day,03/23/12,
Dream House,03/24/12,
Waffle Day,03/25/12,
Bread Painting,03/26/12,
Coloring Sand,03/27/12,
Paint a Rainbow,03/28/12,
Collage,03/29/12,
Pencil Day; National Hot Dog Day,03/30/12,
Oranges and Lemon Day; First Map of US Published,03/31/12,
April Fool's Day,04/01/12,
International Children's Book Day; National PB&J Day,04/02/12,
Find a Rainbow Day,04/03/12,
Corn Cob Painting,04/04/12,
National Deep Dish Pizza Day,04/05/12,
Jump over Things Day,04/06/12,
Cling Wrap Painting,04/07/12,
Easter*; International Bird Day; Zoo Lovers Day,04/08/12,
Golf Ball Painting,04/09/12,
Make a Card,04/10/12,
National Pet Day,04/11/12,
Mural,04/12/12,
Scrabble Day,04/13/12,
Favorite Kind of Day,04/14/12,
Titanic Sank,04/15/12,
Bridge,04/16/12,
Daffy Duck's Birthday,04/17/12,
National Animal Crackers Day,04/18/12,
Decorate a pumpkin,04/19/12,
Leaf Paintings,04/20/12,
Finger Paint,04/21/12,
Earth Day; National Jelly Bean Day,04/22/12,
Movie Theater Day; International Macaroni Day,04/23/12,
Shapes Treasure Hunt,04/24/12,
Tissue Paper Puzzle,04/25/12,
Water Balloons,04/26/12,
Tell a Story Day,04/27/12,
Sense of Smell Day,04/28/12,
Gelatin Rainbow,04/29/12,
Bugs Bunny Day,04/30/12,
Batman Day; Mother Goose Day,05/01/12,
Make a Card,05/02/12,
Collage,05/03/12,
Star Wars Day; International Firefighters Day; Space Day,05/04/12,
Cartoonists Day; National Scrapbooking Day; Cinqo de Mayo,05/05/12,
Nurse's Day,05/06/12,
National Space Day,05/07/12,
Pearler Beads,05/08/12,
Peter Pan Day; National Train Day,05/09/12,
Handprint Turkey,05/10/12,
Handprint Turkeys,05/11/12,
Kite Day,05/12/12,
Mother's Day; Tulip Day,05/13/12,
Snowflakes,05/14/12,
Confetti Collage,05/15/12,
Love a Tree Day,05/16/12,
Stained Glass,05/17/12,
International Museum Day,05/18/12,
Circus Day,05/19/12,
Farm Animals,05/20/12,
Spray Painting,05/21/12,
Mural,05/22/12,
Ornaments,05/23/12,
Tissue Paper Puzzle,05/24/12,
Cookie Monster's Birthday,05/25/12,
Cooking,05/26/12,
Scratchboards,05/27/12,
Tasty Paint,05/28/12,
White T-Shirts,05/29/12,
Memorial Day,05/30/12,
Leaf Collage,05/31/12,
Donut Day; Dinosaur Day; Oscar the Grouch's Birthday,06/01/12,
Drawing Day,06/02/12,
Egg Day,06/03/12,
Favorite Kind of Day,06/04/12,
Water Balloons,06/05/12,
Animal Most Like/Least Like,06/06/12,
VCR Day,06/07/12,
Picture Frames,06/08/12,
Donald Duck Day,06/09/12,
Door Drawing,06/10/12,
Corn on the Cob Day,06/11/12,
Magic Day,06/12/12,
Hershey's Chocolate,06/13/12,
Flag Day,06/14/12,
Nature Photography Day; National Flip Flop Day; Fly a Kite Day,06/15/12,
Shadow Tracing/Painting,06/16/12,
Father's Day,06/17/12,
International Picnic Day,06/18/12,
Farm Animals,06/19/12,
Bald Eagle Day,06/20/12,
Coloring,06/21/12,
Take your Dog to Work Day,06/22/12,
White Mud,06/23/12,
Grow a garden,06/24/12,
Bagel Faces,06/25/12,
Toothbrush Invented; Bicycle Patented,06/26/12,
Clay,06/27/12,
Spray Painting,06/28/12,
Camera Day,06/29/12,
Superman's Birthday,06/30/12,
US Postage Stamp Day; Creative Ice Cream Flavors Day,07/01/12,
Tasty Paint,07/02/12,
Chalk Painting,07/03/12,
Independence Day,07/04/12,
Foot/Hand Prints,07/05/12,
Butterflies,07/06/12,
Chocolate Day; Macaroni Day,07/07/12,
Video Games Day,07/08/12,
Sugar cookie Day,07/09/12,
Teddy Bears' Picnic Day; Barn Day,07/10/12,
Swimming Pool Day,07/11/12,
Paper Bag Day,07/12/12,
National French Fries Day; International Puzzle Day,07/13/12,
Make Kites,07/14/12,
Gummi Worm Day,07/15/12,
Clay,07/16/12,
Teddy Bear Picnic,07/17/12,
Cow Day,07/18/12,
Snowflakes,07/19/12,
National Lollipop Day,07/20/12,
National Hot Dog Day; Monkey Day,07/21/12,
Picture Frames,07/22/12,
Ice Cream Cone Day,07/23/12,
Leaf Collage,07/24/12,
Merry-Go-Round Day,07/25/12,
Bert's Birthday,07/26/12,
Bugs Bunny's Birthday; Summer Olympics,07/27/12,
Mosaics,07/28/12,
White T-Shirts,07/29/12,
Paperback Book Day,07/30/12,
Salt Art,07/31/12,
Spiderman Day; Sports Day,08/01/12,
Mural,08/02/12,
Watermelon Day,08/03/12,
National Chocolate Chip Day,08/04/12,
Friendship Day; National Waffle Day,08/05/12,
Wiggle Your Toes Day,08/06/12,
Purple Heart Day,08/07/12,
National Waffle Day,08/08/12,
International Art Appreciation Day,08/09/12,
Picture Frames,08/10/12,
Kool-Aid Day; Play in the Sand Day,08/11/12,
Sewing Machine Day,08/12/12,
Book Cover about Yourself,08/13/12,
Coloring Sand,08/14/12,
Best Friends Day,08/15/12,
Jewelry Making,08/16/12,
National Thrift Shop Day,08/17/12,
Handprint Turkey,08/18/12,
National Potato Day,08/19/12,
Cupcake Day,08/20/12,
Poet's Day,08/21/12,
Be an Angel Day; National Tooth Fairy Day,08/22/12,
Altered Books,08/23/12,
National Waffle Day,08/24/12,
Tissue Paper Collage,08/25/12,
National Dog Day,08/26/12,
Spray Painting,08/27/12,
Dream Day,08/28/12,
Make a Wreath,08/29/12,
Paint a Rainbow,08/30/12,
Mosaics,08/31/12,
Picture Frames,09/01/12,
Milk/Cookies,09/02/12,
Labor Day,09/03/12,
Obstacle Course,09/04/12,
Tasty Paint,09/05/12,
Clay,09/06/12,
Stamps,09/07/12,
Unwrapping Presents,09/08/12,
Teddy Bear Day,09/09/12,
Hot Dog Day; Sewing Machine Patented,09/10/12,
9/11 Remembrance,09/11/12,
Video Games Day,09/12/12,
International Chocolate Day; Kids Take Over the Kitchen Day; Helicopter Day; Scooby Doo's Birthday,09/13/12,
National Kreme Filled Donut Day; First Lighthouse,09/14/12,
Felt Hat Day; International Eat an Apple Day; Puzzle Invented,09/15/12,
National Play-Doh Day,09/16/12,
Shield,09/17/12,
Book Cover about Yourself,09/18/12,
