Subject,Start Date
Farm Animals,01/01/12
Golf Ball Painting,01/02/12
Tie Dye,01/03/12
Egg Painting,01/04/12
Digging for Treasure,01/05/12
Collage,01/06/12
Rice Krispy Treats,01/07/12
Mandala,01/08/12
Dream House,01/09/12
Bird's Nest Drawing,01/10/12
Corn Cob Painting,01/11/12
Teddy Bear Picnic,01/12/12
Handprint Turkeys,01/13/12
Snowflakes,01/14/12
Cupcakes,01/15/12
Create Animal Environment,01/16/12
Coloring Sand,01/17/12
Make a Card,01/18/12
Mosaics,01/19/12
Hershey's Chocolate,01/20/12
Desert Island,01/21/12
Chalk Painting,01/22/12
Board Games,01/23/12
Puffy Paint Painting,01/24/12
Create a Town,01/25/12
Ornaments,01/26/12
Pizza,01/27/12
Confetti Collage,01/28/12
White Mud,01/29/12
Obstacle Course,01/30/12
Sea Animals,01/31/12
Salt Art,02/01/12
Digging for Treasure,02/02/12
Make a Card,02/03/12
Large Cutout Shape Puzzle,02/04/12
Torn Paper Collage,02/05/12
Paper Plates,02/06/12
Mask-making,02/07/12
Desert Island,02/08/12
Tissue Paper Collage,02/09/12
Scratchboards,02/10/12
Bridge,02/11/12
Favorite Kind of Day,02/12/12
Confetti Collage,02/13/12
Make a Wreath,02/14/12
Tasty Paint,02/15/12
Shield,02/16/12
Tacos,02/17/12
Board Games,02/18/12
Hershey's Chocolate,02/19/12
Paint a Rainbow,02/20/12
Tissue Paper Puzzle,02/21/12
Picture Frames,02/22/12
Modeling dough,02/23/12
Foot/Hand Prints,02/24/12
Golf Ball Painting,02/25/12
Treasure Hunt,02/26/12
Handprint Turkey,02/27/12
Unwrapping Presents,02/28/12
Pudding Painting,02/29/12
Teddy Bear Picnic,03/01/12
Coloring Sand,03/02/12
Confetti Collage,03/03/12
Decorate a pumpkin,03/04/12
Kool-Aid Painting,03/05/12
Pizza,03/06/12
Bread Painting,03/07/12
Shapes Treasure Hunt,03/08/12
Leaf Collage,03/09/12
Magic Goo,03/10/12
Handprint Turkeys,03/11/12
Collage,03/12/12
Favorite Kind of Day,03/13/12
Tacos,03/14/12
Tasty Paint,03/15/12
Self-stick paper collage,03/16/12
Book Cover about Yourself,03/17/12
Finger Paint,03/18/12
Tissue Paper Puzzle,03/19/12
Torn Paper Collage,03/20/12
Cling Wrap Painting,03/21/12
Coffee Filter Art,03/22/12
Bridge,03/23/12
Marble Painting,03/24/12
Chalk Painting,03/25/12
Scratchboards,03/26/12
Shaving Cream Painting,03/27/12
Butterflies,03/28/12
Name Plates,03/29/12
Altered Books,03/30/12
Treasure Hunt,03/31/12
Marble Painting,04/01/12
Picture Frames,04/02/12
Ornaments,04/03/12
Collage,04/04/12
Tasty Paint,04/05/12
Spray Painting,04/06/12
Digging for Treasure,04/07/12
Group Puzzle,04/08/12
Dream House,04/09/12
Gelatin Rainbow,04/10/12
Shield,04/11/12
Leaf Paintings,04/12/12
Unwrapping Presents,04/13/12
Altered Books,04/14/12
Corn Cob Painting,04/15/12
Door Drawing,04/16/12
Hershey's Chocolate,04/17/12
Make Kites,04/18/12
Pudding Painting,04/19/12
Farm Animals,04/20/12
Favorite Kind of Day,04/21/12
Tissue Paper Collage,04/22/12
Milk/Cookies,04/23/12
Stamps,04/24/12
Stained Glass,04/25/12
Shadow Tracing/Painting,04/26/12
Scratchboards,04/27/12
Pizza,04/28/12
Snowflakes,04/29/12
Make a Card,04/30/12
Collage,05/01/12
Create a Town,05/02/12
White Mud,05/03/12
Grow a garden,05/04/12
Name Plates,05/05/12
Milk Painting,05/06/12
Confetti Collage,05/07/12
Coloring,05/08/12
Egg Painting,05/09/12
Tacos,05/10/12
Teddy Bear Picnic,05/11/12
Bridge,05/12/12
Cling Wrap Painting,05/13/12
Pearler Beads,05/14/12
Mosaics,05/15/12
Tie Dye,05/16/12
Puffy Paint Painting,05/17/12
Clay,05/18/12
Snowflakes,05/19/12
Foot/Hand Prints,05/20/12
Spray Painting,05/21/12
Cupcakes,05/22/12
Corn Syrup Painting,05/23/12
Make Kites,05/24/12
Door Drawing,05/25/12
Tissue Paper Puzzle,05/26/12
Salt Art,05/27/12
Pudding Painting,05/28/12
Corn Cob Painting,05/29/12
Group Puzzle,05/30/12
Leaf Collage,05/31/12
Corn Cob Painting,06/01/12
Picture Frames,06/02/12
Digging for Treasure,06/03/12
Create Animal Environment,06/04/12
Picture Frames,06/05/12
Rice Krispy Treats,06/06/12
Teddy Bear Picnic,06/07/12
Coffee Filter Art,06/08/12
Leaf Paintings,06/09/12
Corn Syrup Painting,06/10/12
Mosaics,06/11/12
Coloring,06/12/12
Paint a Rainbow,06/13/12
Treasure Hunt,06/14/12
Unwrapping Presents,06/15/12
Chalk Painting,06/16/12
Tissue Paper Collage,06/17/12
Make Kites,06/18/12
Magic Goo,06/19/12
Cling Wrap Painting,06/20/12
Leaf Collage,06/21/12
Puffy Paint Painting,06/22/12
Stamps,06/23/12
