Subject,Start Date
Shapes Treasure Hunt,01/01/12
Pudding Painting,01/02/12
Wash the Cars,01/03/12
CD Cover,01/04/12
Altered Books,01/05/12
Leaf Collage,01/06/12
Hershey's Chocolate,01/07/12
Stained Glass,01/08/12
Grow a garden,01/09/12
Picture Frames,01/10/12
Create a Town,01/11/12
Jewelry Making,01/12/12
Mural,01/13/12
Make a Card,01/14/12
Paper Plates,01/15/12
Bagel Faces,01/16/12
Self-stick paper collage,01/17/12
Cooking,01/18/12
Modeling dough,01/19/12
Handprint Turkeys,01/20/12
Milk Painting,01/21/12
Collage,01/22/12
Puffy Paint Painting,01/23/12
Bridge,01/24/12
Create Animal Environment,01/25/12
Cling Wrap Painting,01/26/12
Handprint Turkey,01/27/12
Group Puzzle,01/28/12
Coloring,01/29/12
Tissue Paper Collage,01/30/12
Make Lemonade,01/31/12
Tissue Paper Collage,02/01/12
Drawing Round Robin,02/02/12
Paper Plates,02/03/12
CD Cover,02/04/12
Golf Ball Painting,02/05/12
Paint a Rainbow,02/06/12
Kool-Aid Painting,02/07/12
Make Kites,02/08/12
Jewelry Making,02/09/12
Shield,02/10/12
Ornaments,02/11/12
Paper Plates,02/12/12
Pizza,02/13/12
Marble Painting,02/14/12
Salt Art,02/15/12
Book Cover about Yourself,02/16/12
Water Balloons,02/17/12
Group Puzzle,02/18/12
Door Drawing,02/19/12
Coloring Sand,02/20/12
Shaving Cream Painting,02/21/12
Holiday Art,02/22/12
Large Cutout Shape Puzzle,02/23/12
Modeling dough,02/24/12
Rice Krispy Treats,02/25/12
Road Work,02/26/12
Scratchboards,02/27/12
Shadow Tracing/Painting,02/28/12
Handprint Turkey,02/29/12
Drawing Round Robin,03/01/12
Bird's Nest Drawing,03/02/12
Foot/Hand Prints,03/03/12
Magic Goo,03/04/12
Mural,03/05/12
Farm Animals,03/06/12
Make Kites,03/07/12
Snowflakes,03/08/12
Egg Painting,03/09/12
Music Making,03/10/12
Salt Art,03/11/12
Cooking,03/12/12
Create Animal Environment,03/13/12
Water Balloons,03/14/12
Coffee Filter Art,03/15/12
Pudding Painting,03/16/12
Bread Painting,03/17/12
Picture Frames,03/18/12
Kool-Aid Painting,03/19/12
Bridge,03/20/12
Large Cutout Shape Puzzle,03/21/12
CD Cover,03/22/12
Stained Glass,03/23/12
Tacos,03/24/12
Rice Krispy Treats,03/25/12
Digging for Treasure,03/26/12
Butterflies,03/27/12
Spray Painting,03/28/12
Golf Ball Painting,03/29/12
Favorite Kind of Day,03/30/12
Leaf Collage,03/31/12
Wash the Cars,04/01/12
Music Making,04/02/12
Paint a Rainbow,04/03/12
Body Trace,04/04/12
Mandala,04/05/12
Paper Plates,04/06/12
Road Work,04/07/12
Make a Card,04/08/12
Tasty Paint,04/09/12
Create Animal Environment,04/10/12
Book Cover about Yourself,04/11/12
Handprint Turkey,04/12/12
Tissue Paper Collage,04/13/12
Make Kites,04/14/12
Corn Syrup Painting,04/15/12
Large Cutout Shape Puzzle,04/16/12
Kool-Aid Painting,04/17/12
Desert Island,04/18/12
Egg Painting,04/19/12
Water Balloons,04/20/12
Grow a garden,04/21/12
Handprint Turkeys,04/22/12
Coffee Filter Art,04/23/12
Favorite Kind of Day,04/24/12
Bird's Nest Drawing,04/25/12
Marble Painting,04/26/12
Milk/Cookies,04/27/12
Rice Krispy Treats,04/28/12
White Mud,04/29/12
Bread Painting,04/30/12
Shadow Tracing/Painting,05/01/12
Altered Books,05/02/12
Salt Art,05/03/12
Create a Town,05/04/12
Holiday Art,05/05/12
Jewelry Making,05/06/12
Desert Island,05/07/12
Corn Syrup Painting,05/08/12
Modeling dough,05/09/12
Animal Most Like/Least Like,05/10/12
Water Balloons,05/11/12
Paper Plates,05/12/12
Create your own Placemat,05/13/12
Make a Card,05/14/12
Bridge,05/15/12
Mosaics,05/16/12
Board Games,05/17/12
Milk Painting,05/18/12
Ornaments,05/19/12
Tasty Paint,05/20/12
Pizza,05/21/12
Gelatin Rainbow,05/22/12
Popsicles,05/23/12
Finger Paint,05/24/12
Favorite Kind of Day,05/25/12
Snowflakes,05/26/12
Door Drawing,05/27/12
Mandala,05/28/12
Cling Wrap Painting,05/29/12
Digging for Treasure,05/30/12
Corn Cob Painting,05/31/12
Modeling dough,06/01/12
Farm Animals,06/02/12
Wash the Cars,06/03/12
Ornaments,06/04/12
Create Animal Environment,06/05/12
Handprint Turkeys,06/06/12
Sea Animals,06/07/12
Spray Painting,06/08/12
Pearler Beads,06/09/12
Marble Painting,06/10/12
Pudding Painting,06/11/12
Corn Syrup Painting,06/12/12
Kool-Aid Painting,06/13/12
Music Making,06/14/12
Paper Mache,06/15/12
White T-Shirts,06/16/12
Road Work,06/17/12
Dream House,06/18/12
Magic Goo,06/19/12
Cling Wrap Painting,06/20/12
Mandala,06/21/12
Holiday Art,06/22/12
Bagel Faces,06/23/12
Chalk Painting,06/24/12
CD Cover,06/25/12
Treasure Hunt,06/26/12
Picture Frames,06/27/12
Tissue Paper Puzzle,06/28/12
Foot/Hand Prints,06/29/12
Board Games,06/30/12
Jewelry Making,07/01/12
Tissue Paper Puzzle,07/02/12
Stamps,07/03/12
Modeling dough,07/04/12
CD Cover,07/05/12
Pizza,07/06/12
Tacos,07/07/12
Hershey's Chocolate,07/08/12
Popsicles,07/09/12
Body Trace,07/10/12
Chalk Painting,07/11/12
Scratchboards,07/12/12
Drawing Round Robin,07/13/12
Paper Mache,07/14/12
Coloring,07/15/12
Leaf Paintings,07/16/12
Spray Painting,07/17/12
Paper Plates,07/18/12
Make Lemonade,07/19/12
Foot/Hand Prints,07/20/12
Milk Painting,07/21/12
Ornaments,07/22/12
Finger Paint,07/23/12
Leaf Collage,07/24/12
Golf Ball Painting,07/25/12
Sea Animals,07/26/12
Unwrapping Presents,07/27/12
Desert Island,07/28/12
Digging for Treasure,07/29/12
Handprint Turkey,07/30/12
Bridge,07/31/12
Puffy Paint Painting,08/01/12
Make Lemonade,08/02/12
Chalk Painting,08/03/12
Pudding Painting,08/04/12
Paper Mache,08/05/12
Milk Painting,08/06/12
Mandala,08/07/12
Bread Painting,08/08/12
Sea Animals,08/09/12
Cling Wrap Painting,08/10/12
Marble Painting,08/11/12
Egg Painting,08/12/12
Treasure Hunt,08/13/12
Stained Glass,08/14/12
Board Games,08/15/12
Hershey's Chocolate,08/16/12
Tacos,08/17/12
Water Balloons,08/18/12
Snowflakes,08/19/12
CD Cover,08/20/12
Scratchboards,08/21/12
Door Drawing,08/22/12
Spray Painting,08/23/12
Self-stick paper collage,08/24/12
Tissue Paper Puzzle,08/25/12
Picture Frames,08/26/12
Magic Goo,08/27/12
Paper Plates,08/28/12
Paint a Rainbow,08/29/12
Finger Paint,08/30/12
Rice Krispy Treats,08/31/12
Music Making,09/01/12
Egg Painting,09/02/12
Rice Krispy Treats,09/03/12
Grow a garden,09/04/12
Tissue Paper Collage,09/05/12
Picture Frames,09/06/12
Pearler Beads,09/07/12
Create Animal Environment,09/08/12
Paper Mache,09/09/12
Milk Painting,09/10/12
Jewelry Making,09/11/12
Coloring,09/12/12
Bird's Nest Drawing,09/13/12
Paint a Rainbow,09/14/12
Puffy Paint Painting,09/15/12
Clay,09/16/12
Coffee Filter Art,09/17/12
Wash the Cars,09/18/12
Book Cover about Yourself,09/19/12
Cooking,09/20/12
Drawing Round Robin,09/21/12
Confetti Collage,09/22/12
Large Cutout Shape Puzzle,09/23/12
Decorate a pumpkin,09/24/12
Marble Painting,09/25/12
Salt Art,09/26/12
Create your own Placemat,09/27/12
Stained Glass,09/28/12
Leaf Paintings,09/29/12
Mandala,09/30/12
Tissue Paper Collage,10/01/12
Animal Most Like/Least Like,10/02/12
Confetti Collage,10/03/12
Cooking,10/04/12
Pizza,10/05/12
